domain,bd_index,chinese,reverse_index,url,illegal,pan_analysis,sgsr
cqjsyy.com,3,chinese,3,,包含违禁词,正常,3
cqwjxf.com,1,chinese,1,,正常,正常,3
cr20glz.com,0,no_language,0,,正常,正常,3
cwc1688.com,0,no_language,0,,正常,正常,3
cqygsl.com,1,chinese,1,,正常,正常,3
cwscn.com,2,chinese,2,,包含违禁词,正常,3
cti158.net,3,chinese,3,,包含违禁词,正常,4
czxiangan.com,1,english,1,,正常,正常,3
czgenhao.com,2,chinese,2,,包含违禁词,正常,3
dasuan114.com,0,no_language,0,,正常,正常,3
dalian66.com,0,no_language,0,,正常,正常,3
ddyxrj.com,0,no_language,0,,正常,正常,3
cxsfda.com,84,chinese,10,,包含违禁词,正常,4
designuu.com,0,no_language,0,,正常,正常,3
db01.org,3,english,3,,正常,正常,3
dhyahot.com,0,no_language,0,,正常,正常,3
dljthl.net,0,no_language,0,,正常,正常,3
dfq001.com,2,chinese,2,,正常,正常,3
dgmfjx.com,2,chinese,2,,正常,正常,3
dnlxs.com,0,no_language,0,,正常,正常,3
dgybl.net,1,english,1,,正常,正常,3
dochina1st.com,0,no_language,0,,正常,正常,3
dthao.com,0,no_language,0,,正常,正常,3
dsjc666.com,0,no_language,0,,正常,正常,3
dlsvvxn.com,2,chinese,2,,正常,正常,4
dsgk666.com,0,no_language,0,,正常,正常,3
dorewan.com,6,chinese,6,,正常,泛解析,3
e1993.com,0,no_language,0,,正常,正常,4
dosbbs.com,122,chinese,10,,包含违禁词,泛解析,3
duoduo1998.com,2,chinese,2,,正常,正常,3
dyetd.com,35,chinese,10,,包含违禁词,正常,3
emco-co.com,0,no_language,0,,正常,正常,3
erttuan.com,0,no_language,0,,正常,正常,4
ebonypimp.com,1,english,1,,正常,正常,3
efucn.com,1,chinese,1,,包含违禁词,正常,3
elites-edu.com,3,chinese,3,,包含违禁词,正常,3
fanliko.com,0,no_language,0,,正常,正常,3
efdian.com,702,chinese,10,,正常,正常,4
fanoy.net,0,no_language,0,,正常,正常,3
f2144.com,28,chinese,10,,包含违禁词,正常,4
fayuke.com,0,no_language,0,,正常,正常,3
florons.com,1,chinese,1,,正常,正常,3
flwwy.com,1,chinese,1,,正常,正常,3
fenjiu20.com,1,chinese,1,,正常,正常,3
food3721.com,1,chinese,1,,正常,正常,3
frms007.com,0,no_language,0,,正常,正常,3
fxcar68.com,0,no_language,0,,正常,正常,3
fqtcn.net,1,chinese,1,,正常,正常,3
gdmxtv.com,0,no_language,0,,正常,正常,3
fxsjz.com,0,no_language,0,,正常,正常,3
fayunfzc.com,20,chinese,10,,正常,正常,3
gxlongtan.com,0,no_language,0,,正常,正常,3
gjdpdj168.com,8,chinese,8,,正常,正常,3
gzzeyang.com,0,no_language,0,,正常,正常,3
gzxat.com,1,chinese,1,,正常,正常,3
gm170.com,9,chinese,9,,包含违禁词,正常,4
gztyty168.com,1,chinese,1,,正常,正常,3
gxwangjie.com,29,chinese,10,,包含违禁词,正常,3
gzruitu.com,8,chinese,8,,正常,正常,3
gzrenren.com,84,chinese,10,,包含违禁词,正常,4
h3cdk.com,0,no_language,0,,正常,正常,3
haohint.com,0,no_language,0,,正常,正常,3
hbpy888.com,1,chinese,1,,正常,正常,3
hbsjk.com,0,no_language,0,,正常,正常,3
hbut.org,0,no_language,0,,正常,正常,3
h16899.com,19,chinese,10,,包含违禁词,正常,3
gogozp.com,42,chinese,10,,包含违禁词,正常,4
hcwen.com,0,no_language,0,,正常,正常,3
hhhlong.com,0,no_language,0,,正常,正常,3
hjvvxn.com,0,no_language,0,,正常,正常,4
hhhtao.com,2,chinese,2,,正常,正常,3
hnstsj.com,0,no_language,0,,正常,正常,3
hsy6.com,0,no_language,0,,正常,正常,4
hmyzc.com,1,chinese,1,,正常,正常,3
hjlft.com,10,chinese,10,,包含违禁词,正常,3
hywfbd.com,0,no_language,0,,正常,正常,3
hxbzj.net,1,chinese,1,,正常,正常,3
huaduhouse.com,3,chinese,3,,正常,正常,3
ic-afx.com,0,no_language,0,,正常,正常,3
hzbssy.com,1,chinese,1,,包含违禁词,正常,3
hunqing532.com,21,chinese,10,,包含违禁词,泛解析,3
ican88.com,1,chinese,1,,正常,正常,3
im135.com,0,no_language,0,,正常,正常,3
iexun.com,2,chinese,2,,正常,正常,3
jindunyt.com,0,no_language,0,,正常,正常,3
jfrpc.com,1,chinese,1,,正常,正常,3
inkerwang.com,8,chinese,8,,正常,正常,3
jingguanfm.com,1,english,1,,正常,正常,3
jdsp178.com,1,chinese,1,,正常,正常,3
jinengcn.com,1,chinese,1,,包含违禁词,正常,3
jlhdweb.com,0,no_language,0,,正常,正常,4
jitaicn.com,1,chinese,1,,正常,正常,3
jk400.com,2,english,2,,正常,正常,3
jlmgw.com,0,no_language,0,,正常,正常,3
jordancp.com,0,no_language,0,,正常,正常,4
ichenxi.com,760,chinese,10,,正常,正常,4
jrzdm163.com,1,chinese,1,,正常,正常,3
jsbstjx.com,1,chinese,1,,正常,正常,3
jxlgmc.com,0,no_language,0,,正常,正常,3
jnlongbiao.com,37,chinese,10,,包含违禁词,泛解析,3
jqdianli.com,65,chinese,10,,正常,正常,3
kanglebao.com,0,no_language,0,,正常,正常,3
kanglixiu.com,1,chinese,1,,正常,正常,3
jmlhl.com,2,chinese,2,,正常,正常,3
jmxhzz.com,760,chinese,10,,包含违禁词,泛解析,3
jzy988.com,14,chinese,10,,包含违禁词,正常,4
kmtdtw.com,0,no_language,0,,正常,正常,3
kcxinxi.com,1,chinese,1,,正常,正常,4
ktkeyun.com,0,no_language,0,,正常,正常,3
kuaigaoyao.com,0,no_language,0,,正常,正常,3
l-alpina.com,0,no_language,0,,正常,正常,3
lcjgdj.com,0,no_language,0,,正常,正常,3
kanlishi.net,7,chinese,7,,正常,正常,3
labelcool.com,0,no_language,0,,正常,正常,3
lejjc.com,0,no_language,0,,正常,正常,3
lfdzlt.com,0,no_language,0,,正常,正常,3
kedi-cgp.com,3,chinese,3,,正常,正常,3
lianhe007.com,0,no_language,0,,正常,正常,4
liming1959.com,0,no_language,0,,正常,正常,3
lucksm.com,0,no_language,0,,正常,正常,4
lpgk88.com,0,no_language,0,,正常,正常,3
liangmin.cc,3,chinese,3,,正常,正常,3
lvmeikang.com,1,chinese,1,,正常,正常,4
lxsj001.com,0,no_language,0,,正常,正常,3
lxbutton.com,1,chinese,1,,正常,正常,3
lvlvme.com,0,no_language,0,,正常,正常,3
lzfssj.com,0,no_language,0,,正常,正常,3
matsajob.com,0,no_language,0,,正常,正常,3
ly273.com,0,no_language,0,,正常,正常,3
lyqqkj.com,1,chinese,1,,正常,正常,3
